S. No.,Vehicle Make & Model,High/Low Speed,Chassis Number,Vehicle ID,Driver ID,Battery ID,Battery Deployment Date,Zone ID,Retrofitment Location,USC ID
1,Evolet Polo,Low Speed,LCS5BAB55N9000933,EVP020,D146301,B708523,18/07/2025,NMV02,Noida,
2,Evolet Polo,Low Speed,LCS5BAB55N9000957,LCS5BAB55N9000957,D231228,B654748,28/11/2025,NMV02,Noida,"USC-2075"
3,Evolet Polo,Low Speed,LCS5BAB55N9000974,LCS5BAB55N9000974,D231235,B848143,29/11/2025,NMV02,Noida,"USC-3773"
4,Evolet Polo,Low Speed,LCS5BAB55N9001120,EVP010,D231360,B741181,05/12/2025,NMV02,Noida,"USC-1014"
5,Evolet Polo,Low Speed,LCS5BAB55N9001143,EVP004,D231361,B493913,05/12/2025,NMV02,Noida,"USC-1014"
6,Evolet Polo,Low Speed,LCS5BAB55N9001137,EVP023,D231362,B237003,05/12/2025,NMV02,Noida,"USC-1014"
7,IntuitEV & BANA EV,Low Speed,R6VA013COSL064085,INT038,D231458,B890806,10/12/2025,NMV02,Noida,USC-1895
8,IntuitEV & BANA EV,Low Speed,R6VA013COSL064088,INT039,D231459,B735553,10/12/2025,NMV02,Noida,USC-1895
9,IntuitEV & BANA EV,Low Speed,R6VA013COSL064102,INT040,D231460,B849072,10/12/2025,NMV02,Noida,USC-1895
10,IntuitEV & BANA EV,Low Speed,R6VA013COSL064243,INT041,D231461,B890733,10/12/2025,NMV02,Noida,USC-1895
11,IntuitEV & BANA EV,Low Speed,R6VA013COSL064245,INT042,D231462,B889080,10/12/2025,NMV02,Noida,USC-1895
12,IntuitEV & BANA EV,Low Speed,R6VA013COSL064253,INT043,D231463,B890312,10/12/2025,NMV02,Noida,USC-1895
13,IntuitEV & BANA EV,Low Speed,R6VA013COSL064258,INT044,D231464,B890957,10/12/2025,NMV02,Noida,USC-1895
14,IntuitEV & BANA EV,Low Speed,R6VA013COSL064289,INT045,D231465,B890166,10/12/2025,NMV02,Noida,USC-1895
15,IntuitEV & BANA EV,Low Speed,R6VA013COSL064291,INT046,D231466,B891312,10/12/2025,NMV02,Noida,USC-1895
16,IntuitEV & BANA EV,Low Speed,R6VA013COSL064411,INT047,D231467,B888572,10/12/2025,NMV02,Noida,USC-1895
17,IntuitEV & BANA EV,Low Speed,R6VA013COSL064427,INT048,D231468,B890878,10/12/2025,NMV02,Noida,USC-1895
18,IntuitEV & BANA EV,Low Speed,R6VA013COSL064447,INT049,D231469,B884167,10/12/2025,NMV02,Noida,USC-1895
19,IntuitEV & BANA EV,Low Speed,R6VA013COSL064512,INT050,D231470,B890241,10/12/2025,NMV02,Noida,USC-1895
20,IntuitEV & BANA EV,Low Speed,INDIA232475364,INT028,D231518,B405298,13/12/2025,NMV02,Noida,USC-1895
21,IntuitEV & BANA EV,Low Speed,INDIA232475369,INT029,D231519,B350245,13/12/2025,NMV02,Noida,USC-1895
22,IntuitEV & BANA EV,Low Speed,INDIA232475379,INT030,D231520,B424728,13/12/2025,NMV02,Noida,USC-1895
23,IntuitEV & BANA EV,Low Speed,INDIA232475380,INT031,D231521,B886033,13/12/2025,NMV02,Noida,USC-1895
24,IntuitEV & BANA EV,Low Speed,INDIA232475391,INT032,D231522,B886382,13/12/2025,NMV02,Noida,USC-1895
25,IntuitEV & BANA EV,Low Speed,INDIA232475428,INT033,D231523,B735844,13/12/2025,NMV02,Noida,USC-1895
26,IntuitEV & BANA EV,Low Speed,INDIA232475440,INT034,D231524,B552182,13/12/2025,NMV02,Noida,USC-1895
27,IntuitEV & BANA EV,Low Speed,INDIA232475727,INT035,D231525,B572363,13/12/2025,NMV02,Noida,USC-1895
28,IntuitEV & BANA EV,Low Speed,R6VA013COSL063295,INT036,D231526,B714345,13/12/2025,NMV02,Noida,USC-1895
29,IntuitEV & BANA EV,Low Speed,R6VA013COSL063819,INT037,D231527,B602848,13/12/2025,NMV02,Noida,USC-1895
30,IntuitEV & BANA EV,Low Speed,INDIA232475359,INT025,D231528,B453495,13/12/2025,NMV02,Noida,USC-1895
31,IntuitEV & BANA EV,Low Speed,INDIA232475362,INT026,D231529,B558724,13/12/2025,NMV02,Noida,USC-1895
32,IntuitEV & BANA EV,Low Speed,INDIA232475363,INT027,D231530,B475304,13/12/2025,NMV02,Noida,USC-1895
33,IntuitEV & BANA EV,Low Speed,AS2602623,INT012,D231654,B566275,16/12/2025,NMV02,Noida,USC-1895
34,IntuitEV & BANA EV,Low Speed,AS2602632,INT013,D231655,B887040,16/12/2025,NMV02,Noida,USC-1895
35,IntuitEV & BANA EV,Low Speed,AS2602685,INT014,D231656,B492232,16/12/2025,NMV02,Noida,USC-1895
36,IntuitEV & BANA EV,Low Speed,AS2602776,INT015,D231657,B480414,16/12/2025,NMV02,Noida,USC-1895
37,IntuitEV & BANA EV,Low Speed,AS2602781,INT016,D231658,B725313,16/12/2025,NMV02,Noida,USC-1895
