Battery ID (Lilypad Internal ID),Service Provider,Zone ID (Optional),Battery Plan (Optional),Location (Optional),Retrofitment Date (Optional),USC ID (Optional),Batterysmart_ID
B708523,Battery Smart,NMV02,B2B,Noida,18/07/2025,N/A,D146301
B654748,Battery Smart,NMV02,B2B,Noida,28/11/2025,"USC-2075",D231228
B848143,Battery Smart,NMV02,B2B,Noida,29/11/2025,"USC-3773",D231235
B741181,Battery Smart,NMV02,B2B,Noida,05/12/2025,"USC-1014",D231360
B493913,Battery Smart,NMV02,B2B,Noida,05/12/2025,"USC-1014",D231361
B237003,Battery Smart,NMV02,B2B,Noida,05/12/2025,"USC-1014",D231362
B890806,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231458
B735553,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231459
B849072,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231460
B890733,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231461
B889080,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231462
B890312,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231463
B890957,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231464
B890166,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231465
B891312,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231466
B888572,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231467
B890878,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231468
B884167,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231469
B890241,Battery Smart,NMV02,B2B,Noida,10/12/2025,USC-1895,D231470
B405298,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231518
B350245,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231519
B424728,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231520
B886033,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231521
B886382,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231522
B735844,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231523
B552182,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231524
B572363,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231525
B714345,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231526
B602848,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231527
B453495,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231528
B558724,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231529
B475304,Battery Smart,NMV02,B2B,Noida,13/12/2025,USC-1895,D231530
B566275,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231654
B887040,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231655
B492232,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231656
B480414,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231657
B725313,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231658
B677498,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231659
B563817,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231660
B59616,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231661
B843265,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231662
B661078,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231663
B571528,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231664
B557459,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231665
B886807,Battery Smart,NMV02,B2B,Noida,16/12/2025,USC-1895,D231666
