Vehicle Make,Vehicle Model,Color,Delivery Date,Vehicle Registration Number,Chassis Number,Motor Serial Number,Vendor,PDI Done By,Registration Received?,Insurance Received?,Portable Charger Received?,Vehicle Type,Battery Type,VEHICLE ID
IntuitEV,BanaEV,RED,17 Nov 2025,INT001,AS2602520,AS2600669,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT001
IntuitEV,BanaEV,RED,17 Nov 2025,INT002,AS2602528,AS2600623,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT002
IntuitEV,BanaEV,RED,17 Nov 2025,INT003,AS2602542,AS2600607,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT003
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT004,AS2602546,AS2600785,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT004
IntuitEV,BanaEV,RED,17 Nov 2025,INT005,AS2602548,AS2600596,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT005
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT006,AS2602549,AS2600628,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT006
IntuitEV,BanaEV,RED,17 Nov 2025,INT007,AS2602551,AS2600647,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT007
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT008,AS2602600,AS2600927,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT008
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT009,AS2602604,AS2600610,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT009
IntuitEV,BanaEV,RED,17 Nov 2025,INT010,AS2602607,AS2600588,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT010
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT011,AS2602608,AS2600834,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT011
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT012,AS2602623,AS2602921,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT012
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT013,AS2602632,AS2600841,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT013
IntuitEV,BanaEV,RED,17 Nov 2025,INT014,AS2602685,AS2600662,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT014
IntuitEV,BanaEV,RED,17 Nov 2025,INT015,AS2602776,AS2600604,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT015
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT016,AS2602781,AS2600862,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT016
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT017,AS2602788,AS2600648,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT017
IntuitEV,BanaEV,RED,17 Nov 2025,INT018,INDIA232475249,INDIA-23-2475214 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT018
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT019,INDIA232475253,INDIA-23-2475289 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT019
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT020,INDIA232475318,INDIA-23-2475282  225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT020
IntuitEV,BanaEV,BLACK,17 Nov 2025,INT021,INDIA232475330,INDIA-23-2475184 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT021
IntuitEV,BanaEV,RED,17 Nov 2025,INT022,INDIA232475337,INDIA-23-2475174 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT022
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT023,INDIA232475338,INDIA-23-2475177 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT023
IntuitEV,BanaEV,RED,17 Nov 2025,INT024,INDIA232475358,INDIA-23-2475159 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT024
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT025,INDIA232475359,INDIA-23-2475292 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT025
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT026,INDIA232475362,INDIA-23-2475195 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT026
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT027,INDIA232475363,INDIA-23-2475296 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT027
IntuitEV,BanaEV,,17 Nov 2025,INT028,INDIA232475364,INDIA-23-2475297 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT028
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT029,INDIA232475369,INDIA-23-2475147  225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT029
IntuitEV,BanaEV,RED,17 Nov 2025,INT030,INDIA232475379,INDIA-23-2475148 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT030
IntuitEV,BanaEV,,17 Nov 2025,INT031,INDIA232475380,INDIA-23-2475253 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT031
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT032,INDIA232475391,INDIA-23-2475166 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT032
IntuitEV,BanaEV,RED,17 Nov 2025,INT033,INDIA232475440,INDIA-23-2475255 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT033
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT034,INDIA232475428,INDIA-23-2475210 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT034
IntuitEV,BanaEV,,17 Nov 2025,INT035,INDIA232475727,INDIA-23-2475263 225W,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT035
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT036,R6VA013COSL063295,LDSLM2025063915,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT036
IntuitEV,BanaEV,RED,17 Nov 2025,INT037,R6VA013COSL063819,LDSLM2025063747,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT037
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT038,R6VA013COSL064085,LDSLM2025063957,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT038
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT039,R6VA013COSL064088,LDSLM2025063950,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT039
IntuitEV,BanaEV,GREEN,17 Nov 2025,INT040,R6VA013COSL064102,LDSLM2025063939,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT040
IntuitEV,BanaEV,RED,17 Nov 2025,INT041,R6VA013COSL064243,LDSLM2025063753,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT041
IntuitEV,BanaEV,RED,17 Nov 2025,INT042,R6VA013COSL064245,LDSLM2025063704,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT042
IntuitEV,BanaEV,RED,17 Nov 2025,INT043,R6VA013COSL064253,LDSLM2025063688,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT043
IntuitEV,BanaEV,RED,17 Nov 2025,INT044,R6VA013COSL064258,LDSLM2025063794,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT044
IntuitEV,BanaEV,,17 Nov 2025,INT045,R6VA013COSL064289,LDSLM2025063679,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT045
IntuitEV,BanaEV,RED,17 Nov 2025,INT046,R6VA013COSL064291,LDSLM2025063750,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT046
IntuitEV,BanaEV,RED,17 Nov 2025,INT047,R6VA013COSL064411,LDSLM2025063722,IntuitEV,MUNAZIR,NA,NA,NA,Low Speed,Swappable,INT047
